name,address,rating,price_level,types,website,phone,number of ratings,business_status,,
Outback Steakhouse,"790 Foxcroft Avenue, Martinsburg",4.1,2,"bar, meal_takeaway, restaurant, food, point_of_interest, establishment",https://locations.outback.com/west-virginia/martinsburg/790-foxcroft-avenue?utm_source=gmb&utm_medium=local_search&utm_campaign=website_cta&y_source=1_MTU1MDIxNzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 262-2406,1901,OPERATIONAL,,
Blue Moon Cafe,"200 East High Street, Shepherdstown",4.5,1,"bar, restaurant, food, point_of_interest, establishment",http://www.bluemooncafeshepherdstown.com/,(304) 876-1920,1562,OPERATIONAL,,
Domino's Pizza,"65-D Cordial Court, Falling Waters",4.2,1,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(304) 274-3010,269,OPERATIONAL,,
Papa Johns Pizza,"978 Foxcroft Avenue, Martinsburg",3.9,1,"restaurant, food, point_of_interest, establishment",https://locations.papajohns.com/united-states/wv/25401/martinsburg/978-foxcroft-ave?utm_source=gmb&utm_medium=organic&y_source=1_MTA2OTEyMzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 260-0800,194,OPERATIONAL,,
Ledo Pizza,"217 Oak Lee Drive, Ranson",4.1,2,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://locations.ledopizza.com/ll/US/WV/Ranson/217-Oak-Lee-Drive,(304) 724-8100,323,OPERATIONAL,,
Sheetz,"1465 Edwin Miller Boulevard, Martinsburg",3.4,1,"convenience_store, gas_station, liquor_store, car_wash, cafe, restaurant, food, point_of_interest, store, establishment",https://orderz.sheetz.com/#/main/location/store/220,(304) 263-1825,150,OPERATIONAL,,
Sheetz,"1617 West King Street, Martinsburg",3.4,1,"convenience_store, gas_station, liquor_store, car_wash, cafe, restaurant, food, point_of_interest, store, establishment",https://orderz.sheetz.com/#/main/location/store/155,(304) 263-8099,71,OPERATIONAL,,
Tokyo Steakhouse,"5724 Hammonds Mill Road, Martinsburg",4.2,2,"restaurant, food, point_of_interest, establishment",http://tokyosushimartinsburg.com/,(304) 274-1333,242,OPERATIONAL,,
Dairy Queen,"822 Winchester Avenue, Martinsburg",4.1,1,"restaurant, food, point_of_interest, store, establishment",http://www.dairyqueen.com/,(304) 267-4791,676,OPERATIONAL,,
Tiki's Pub & Grub,"7247 Winchester Avenue, Inwood",4.5,1,"bar, restaurant, food, point_of_interest, establishment",https://www.facebook.com/tikispub/,(304) 229-2790,272,OPERATIONAL,,
Mom’s Family Diner,"29 Monroe Street, Martinsburg",4.2,1,"restaurant, food, point_of_interest, establishment",https://www.facebook.com/Mommaboyds?mibextid=LQQJ4d,,998,OPERATIONAL,,
AC&T,"823 Warm Springs Avenue, Martinsburg",4,N/A,"convenience_store, gas_station, store, restaurant, food, point_of_interest, establishment",http://www.acandt.com/,(304) 267-1079,8,OPERATIONAL,,
Angelo's Brick Oven Pizza,"714 Foxcroft Avenue, Martinsburg",4.6,2,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",http://angelosbrickovenpizza.com/,(304) 263-2201,385,OPERATIONAL,,
Subway,"1100 Shepherdstown Road, Martinsburg",3.9,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/martinsburg/1100-shephardstown-road?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=39294&utm_campaign=evergreen-2020&y_source=1_MTQ5MDkwNjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 260-0311,47,OPERATIONAL,,
War Memorial Park Mini-Golf & Concession,"War Memorial Park, 500 North Tennessee Avenue, Martinsburg",4.5,N/A,"tourist_attraction, meal_takeaway, park, restaurant, food, point_of_interest, establishment",http://www.mbcparks-rec.org/parks-facilities/war-memorial-park/,(304) 267-1682,39,OPERATIONAL,,
The Rock Sportsbar,"2573 Williamsport Pike, Martinsburg",4.5,1,"bar, restaurant, food, point_of_interest, establishment",,(304) 263-5558,211,OPERATIONAL,,
Spice Connexion,"796 Foxcroft Avenue #101, Martinsburg",4.6,2,"restaurant, food, point_of_interest, establishment",http://www.spiceconnexion.com/,(304) 901-4333,637,OPERATIONAL,,
Pizza Tonight,"340 Hack Wilson Way, Martinsburg",4.2,1,"meal_delivery, restaurant, food, point_of_interest, establishment",https://pizzatonightww.com/,(304) 262-1515,194,OPERATIONAL,,
The Orioles Club,"930 Foxcroft Avenue, Martinsburg",4.2,1,"bar, restaurant, food, point_of_interest, establishment",,(304) 260-0010,136,OPERATIONAL,,
Applebee's Grill + Bar,"755 Foxcroft Avenue, Martinsburg",3.9,2,"restaurant, bar, food, point_of_interest, establishment",https://restaurants.applebees.com/en-us/wv/martinsburg/755-foxcroft-ave-79071?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=79071&utm_content=website,(304) 263-4970,1460,OPERATIONAL,,joe.mamamamamamama@applebees.com
Golden Corral Buffet & Grill,"625 Foxcroft Avenue, Martinsburg",4,2,"restaurant, food, point_of_interest, establishment",https://www.goldencorral.com/locations/2649/golden-corral-foxcroft-avenue?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=2649,(304) 260-5300,1777,CLOSED_TEMPORARILY,,
Little Caesars Pizza,"880 Foxcroft Avenue Suite 105, Martinsburg",3.5,1,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",https://littlecaesars.com/en-us/store/11581,(304) 350-8730,204,OPERATIONAL,,
Panera Bread,"888 Foxcroft Avenue, Martinsburg",3.9,2,"cafe, meal_takeaway, bakery, store, restaurant, food, point_of_interest, establishment",https://www.panerabread.com/en-us/cafe/locations/wv/martinsburg/888-foxcroft-avenue?utm_medium=local&utm_source=google&utm_campaign=dpm-dist&utm_term=204441&utm_content=main,(304) 260-0860,562,OPERATIONAL,,
Wingstop,"880 Foxcroft Avenue #103, Martinsburg",3.8,2,"restaurant, food, point_of_interest, establishment",https://www.wingstop.com/location/wingstop-1298-martinsburg-wv-25401/menu?y_source=1_NTUyMDc3NjgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(681) 247-2165,463,OPERATIONAL,,
Asian Garden Martinsburg,"970 Foxcroft Avenue, Martinsburg",4.5,2,"restaurant, food, point_of_interest, establishment",http://www.asiangardenfood.com/,(304) 263-8678,726,OPERATIONAL,,
Five Guys,"880 Foxcroft Avenue, Martinsburg",4.4,2,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.fiveguys.com/880-foxcroft-ave,(304) 901-5248,720,OPERATIONAL,,
Olive Garden Italian Restaurant,"891 Foxcroft Avenue, Martinsburg",4.3,2,"meal_takeaway, bar, restaurant, food, point_of_interest, establishment",https://www.olivegarden.com/locations/wv/martinsburg/martinsburg/4440?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:martinsburg-wv-4440_pl:locurl_rd:1781,(304) 260-1080,1834,OPERATIONAL,,
Fiesta Tapatia,"201 Viking Way, Martinsburg",4.3,2,"restaurant, bar, food, point_of_interest, establishment",https://www.ordertapatia.com/,(304) 260-0266,1407,OPERATIONAL,,
Panda Express,"927 Foxcroft Avenue, Martinsburg",3.7,1,"restaurant, food, point_of_interest, establishment",https://www.pandaexpress.com/locations/wv/martinsburg/927-foxcroft-ave,(304) 260-8960,823,OPERATIONAL,,
Chipotle Mexican Grill,"937 Foxcroft Avenue, Martinsburg",3.6,1,"restaurant, food, point_of_interest, establishment",https://locations.chipotle.com/wv/martinsburg/937-foxcroft-ave?utm_source=google&utm_medium=yext&utm_campaign=yext_listings,(304) 267-8698,1230,OPERATIONAL,,
Old World Cuisine,"484 Williamsport Pike #126, Martinsburg",N/A,N/A,"restaurant, food, point_of_interest, establishment",http://www.lovingtruthbooks.com/EN/AboutUs/Default.htm,(703) 574-3188,N/A,OPERATIONAL,,
McDonald's,"1320 Edwin Miller Boulevard, Martinsburg",3.1,1,"cafe, restaurant, food, point_of_interest, store, establishment",https://www.mcdonalds.com/us/en-us/location/WV/MARTINSBURG/1320-EDWIN-MILLER-BLVD/35909.html?cid=RF:YXT:GMB::Clicks,(304) 263-3003,1601,OPERATIONAL,,
King's Chicken Rotisserie & More,"55 Meadow Lane, Martinsburg",4.5,2,"restaurant, food, point_of_interest, establishment",https://kingschickenwv.com/,(304) 262-9990,437,OPERATIONAL,,
Taco Bell,"1359 Edwin Miller Boulevard, Martinsburg",3.7,1,"restaurant, food, point_of_interest, establishment",https://locations.tacobell.com/wv/martinsburg/1359-edwin-miller-blvd.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=029623&utm_content=website&y_source=1_NjE0NjQ1Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(304) 901-4577,669,OPERATIONAL,,
Just In Time Seafood,"695 Warm Springs Avenue, Martinsburg",4.6,2,"restaurant, food, point_of_interest, establishment",https://www.facebook.com/Just-In-Time-Seafood-346075525475777/,(304) 262-3474,718,OPERATIONAL,,
Lust Club Martinsburg,"1110 Hedgesville Road, Martinsburg",3.7,N/A,"night_club, bar, restaurant, food, point_of_interest, establishment",http://www.lustclubs.com/,(304) 267-5878,124,OPERATIONAL,,
Sheetz,"4430 Winchester Avenue, Martinsburg",3.3,1,"convenience_store, gas_station, car_wash, liquor_store, cafe, restaurant, food, point_of_interest, store, establishment",https://orderz.sheetz.com/#/main/location/store/546,(304) 264-1556,93,OPERATIONAL,,
Dunkin',"39 Severna Parkway Suite #1, Martinsburg",3.7,1,"meal_takeaway, cafe, bakery, restaurant, food, point_of_interest, store, establishment",https://locations.dunkindonuts.com/en/wv/martinsburg/39-severna-parkway/350960?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=350960&y_source=1_MTIxMTIzODEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 262-6585,583,OPERATIONAL,,
King’s New York Pizza- Hedgesville,"147 Roaring Lion Drive, Hedgesville",4.5,2,"restaurant, food, point_of_interest, establishment",https://www.kingsnewyorkpizza.com/,(304) 754-7992,558,OPERATIONAL,,
Popeyes Louisiana Kitchen,"5608 Hammonds Mill Road, Martinsburg",3.8,1,"restaurant, food, point_of_interest, establishment",https://www.popeyes.com/store-locator/store/restaurant_85129,(304) 274-1015,789,OPERATIONAL,,
Taco Bell,"5610 Hammonds Mill Road, Martinsburg",3.9,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://locations.tacobell.com/wv/martinsburg/5610-hammonds-mill-road.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=031547&utm_content=website&y_source=1_NjE0Mjk4NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(681) 242-2875,603,OPERATIONAL,,
Dunkin',"42 Vantage View Drive, Falling Waters",3.4,1,"meal_takeaway, cafe, bakery, restaurant, food, point_of_interest, store, establishment",https://locations.dunkindonuts.com/en/wv/falling-waters/42-vantage-view-dr/354117?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=354117&y_source=1_MTIxMTM3ODItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 274-6187,729,OPERATIONAL,,
Little Caesars,"5605 Hammonds Mill Road, Martinsburg",3.7,1,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",https://littlecaesars.com/en-us/store/10859,(304) 270-1003,268,OPERATIONAL,,
Kitzie's of Spring Mills,"5623 Williamsport Pike, Martinsburg",4.5,2,"bar, restaurant, food, point_of_interest, establishment",http://www.kitziesofspringmills.com/,(304) 274-5042,1145,OPERATIONAL,,
Dairy Queen,"45 Maddex Square Drive, Shepherdstown",3.8,1,"restaurant, food, point_of_interest, store, establishment",http://www.dairyqueen.com/,(304) 579-4999,252,OPERATIONAL,,
Stonewalls Pub,"126 East German Street, Shepherdstown",N/A,N/A,"bar, restaurant, food, point_of_interest, establishment",,(304) 876-3280,N/A,OPERATIONAL,,
King’s New York Pizza- Kearneysville,"43 C, Ruland Road, Kearneysville",4.3,2,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, store, establishment",https://kingsnewyorkpizza.com/menus/kearneysville-wv/,(304) 876-1933,458,OPERATIONAL,,
The Green Pineapple,"142 East German Street, Shepherdstown",4.2,2,"cafe, restaurant, food, point_of_interest, establishment",http://www.greenpineapple.soy/,(304) 870-4439,421,OPERATIONAL,,
Subway,"West Virginia 85, Danville",4.2,1,"restaurant, food, point_of_interest, establishment",https://order.subway.com/en-us/restaurant/7829/menu/?utm_source=google&utm_medium=local&utm_term=0&utm_content=7829&utm_campaign=fwh-local-remote-order&cid=0:0:0:0:0:0&segment_code=0,(304) 369-1134,198,OPERATIONAL,,
Giovanni's Pizza,"2171 Smoot Avenue, Danville",4.1,1,"restaurant, food, point_of_interest, establishment",http://giovannispizzapower.com/,(304) 369-4000,136,OPERATIONAL,,
Tudor's Biscuit World,"209 Smoot Avenue, Danville",4.2,1,"restaurant, food, point_of_interest, establishment",http://tudorsbiscuitworld.com/,(304) 369-2003,301,OPERATIONAL,,
Sam's Hotdogs,"21189 Coal River Road, Comfort",4.2,1,"restaurant, food, point_of_interest, establishment",http://www.samshotdogs.com/,(304) 837-3081,36,OPERATIONAL,,
Subway,"21193 Coal River Road, Comfort",4.1,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/comfort/21193-coal-river-rd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=16580&utm_campaign=evergreen-2020&y_source=1_MTQ5MTI1MDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 837-3165,38,OPERATIONAL,,
Park Avenue Restaurant & Motel,"278 Park Avenue, Danville",4.2,1,"restaurant, food, lodging, point_of_interest, establishment",http://park-avenue-motel.edan.io/,(304) 369-3732,276,OPERATIONAL,,
Pizza Hut,"1498 Smoot Avenue, Danville",4,1,"meal_takeaway, meal_delivery, restaurant, food, point_of_interest, establishment",https://locations.pizzahut.com/wv/danville/1498-smoot-ave?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=284923,(304) 369-0263,231,OPERATIONAL,,
Giovanni's Pizza,"RR 85, Van",4.6,1,"meal_delivery, restaurant, food, point_of_interest, establishment",http://giovannispizzapower.com/,(304) 245-6000,27,OPERATIONAL,,
Del Lonni’s Pizza & Subs,"19520 Pond Fork Road, Madison",3.8,N/A,"restaurant, food, point_of_interest, establishment",,,4,OPERATIONAL,,
Little Ceasers Mobile Kitchen,"650 Spruce River Road, Madison",4,N/A,"restaurant, food, point_of_interest, establishment",,,1,CLOSED_TEMPORARILY,,
Little's Cafe,"220 State Street, Madison",4.1,N/A,"restaurant, food, point_of_interest, establishment",,(304) 915-4867,85,OPERATIONAL,,
McDonald's,"West Virginia 85, Madison",3.5,1,"cafe, store, restaurant, food, point_of_interest, establishment",https://www.mcdonalds.com/us/en-us/location/WV/MADISON/ROUTE-85/10804.html?cid=RF:YXT:GMB::Clicks,(304) 369-5350,565,OPERATIONAL,,
West Madison Grocery,"302 Riverside Drive, Madison",4.8,1,"grocery_or_supermarket, store, restaurant, food, point_of_interest, establishment",,(304) 369-1500,126,OPERATIONAL,,
Peking Restaurant,Danville,4.6,1,"restaurant, food, point_of_interest, establishment",,(304) 369-1690,242,OPERATIONAL,,
The Magnolia House,"630 Park Avenue, Danville",5,N/A,"restaurant, food, point_of_interest, establishment",https://www.jlsmithcatering.com/,(304) 307-2213,2,OPERATIONAL,,
Wendy's,"2072 Smoot Avenue, Danville",4.1,1,"restaurant, food, point_of_interest, establishment",https://locations.wendys.com/united-states/wv/danville/2072-smoot-ave?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,(304) 369-3823,342,OPERATIONAL,,
Taco Bell,"1962 Smoot Avenue, Danville",4.1,1,"restaurant, food, point_of_interest, establishment",https://locations.tacobell.com/wv/danville/1962-smoot-ave.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=036347&utm_content=website&y_source=1_MTQzODM4NjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 307-2176,206,OPERATIONAL,,
Gino's Pizza & Spaghetti House,"1736 Smoot Avenue, Danville",4.4,N/A,"meal_delivery, restaurant, food, point_of_interest, establishment",http://ginospizza.com/,(304) 369-4400,128,OPERATIONAL,,
KFC,"Smoot Avenue, Danville",3.9,1,"restaurant, food, point_of_interest, establishment",https://locations.kfc.com/wv/danville/smoot-avenue,(304) 369-6504,180,OPERATIONAL,,
Hunt Brothers Pizza,"43 Middlebrook Drive, Foster",N/A,1,"restaurant, food, point_of_interest, establishment",https://www.huntbrotherspizza.com/,(304) 369-1972,N/A,OPERATIONAL,,
Godfather's Pizza Express,"30 Ramsey Road, Danville",4.8,2,"restaurant, food, point_of_interest, establishment",https://godfathers.com/,(304) 369-0001,4,OPERATIONAL,,
Sylvester Pizzeria & Subs,"33044 Coal River Road, Sylvester",4.7,N/A,"restaurant, food, point_of_interest, establishment",,(304) 854-0111,61,OPERATIONAL,,
Country Store,Comfort,N/A,N/A,"restaurant, food, point_of_interest, establishment",,(304) 837-3444,N/A,OPERATIONAL,,
Front Yard Pizza,"991 Joes Creek Road, Comfort",4.7,N/A,"meal_takeaway, restaurant, food, point_of_interest, establishment",,(304) 837-4125,3,OPERATIONAL,,
Terry's Cafe,"239 Raleigh Street, Whitesville",4.6,N/A,"restaurant, food, point_of_interest, establishment",,(304) 854-3995,5,OPERATIONAL,,
Subway,"3947 Sutton Lane, Sutton",4.2,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/sutton/3947-sutton-lane?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=19976&utm_campaign=evergreen-2020&y_source=1_MTQ5MTIyNjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 765-7470,216,OPERATIONAL,,
Shoney's,"131 Woodward Dr, Sutton",3.7,1,"restaurant, food, point_of_interest, establishment",https://www.shoneys.com/locations,(304) 765-5357,612,OPERATIONAL,,
Taco Bell,"1994 Sutton Lane, Sutton",3.3,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://locations.tacobell.com/wv/sutton/1994-sutton-lane.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=G135759&utm_content=website&y_source=1_NjE0NTQ1My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(304) 765-3891,338,OPERATIONAL,,
